Tên di tích,Địa điểm,Loại di tích,Đường dẫn hình ảnh,Mô tả
Khu lưu niệm Nguyễn Du,"Huyện Nghi Xuân,tỉnh Hà Tĩnh",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Di tích là dấu vết của quá khứ còn lưu lại trong lòng đất hoặc trên mặt đất có ý nghĩa về mặt văn hóa và lịch sử"".Ở Việt Nam,một di tích khi đủ các điều kiện sẽ được công nhận theo thứ tự:di tích cấp tỉnh,di tích cấp quốc gia và di tích quốc gia đặc biệt.Di tích quốc gia đặc biệt là những di tích Việt Nam có giá trị đặc biệt tiêu biểu của quốc gia.Di tích quốc gia đặc biệt do Thủ tướng Chính phủ quyết định xếp hạng trên cơ sở lựa chọn các di tích quan trọng đã được Bộ Văn hóa,Thể thao và Du lịch xếp hạng là di tích quốc gia,lần xếp hạng đầu tiên là vào năm 2009."
Chùa Keo,"Huyện Vũ Thư,tỉnh Thái Bình",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Chuakeothaibinh.jpg/250px-Chuakeothaibinh.jpg,Chùa Keo là tên gọi của một số ngôi chùa cổ ở Việt Nam.Một số ngôi chùa Keo cổ được biết đến nhiều nhất là:
Óc Eo – Ba Thê,"Huyện Thoại Sơn,tỉnh An Giang","Di tích kiến trúc nghệ thuật,khảo cổ",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Di_t%C3%ADch_kh%E1%BA%A3o_c%E1%BB%95_Nam_Linh_S%C6%A1n_T%E1%BB%B1.jpg/250px-Di_t%C3%ADch_kh%E1%BA%A3o_c%E1%BB%95_Nam_Linh_S%C6%A1n_T%E1%BB%B1.jpg,"Óc Eo là một di chỉ khảo cổ tại khu vực núi Ba Thê thuộc tỉnh An Giang,Việt Nam.Di chỉ này do nhà khảo cổ học người Pháp Louis Malleret ở trường Viễn Đông Bác Cổ chủ trì khai quật lần đầu tiên vào năm 1944."
Gò Tháp,"Huyện Tháp Mười,tỉnh Đồng Tháp","Di tích kiến trúc nghệ thuật,khảo cổ",https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/%C4%90%E1%BB%81n_th%E1%BB%9D_V%C3%B5_Duy_D%C6%B0%C6%A1ng_v%C3%A0_%C4%90%E1%BB%91c_Binh_Ki%E1%BB%81u.jpg/180px-%C4%90%E1%BB%81n_th%E1%BB%9D_V%C3%B5_Duy_D%C6%B0%C6%A1ng_v%C3%A0_%C4%90%E1%BB%91c_Binh_Ki%E1%BB%81u.jpg,"Khu di tích Gò Tháp là một di tích quốc gia đặc biệt,nằm trên địa bàn hai xã Mỹ Hòa và Tân Kiều,huyện Tháp Mười,tỉnh Đồng Tháp,cách Mỹ An (huyện lỵ) khoảng 11 km về hướng Bắc,cách Thành phố Cao Lãnh về hướng đông bắc 43 km (theo đường bộ và đường thủy)."
Hồ Ba Bể,"Huyện Ba Bể,tỉnh Bắc Kạn 22°25′B 105°37′Đ",Danh lam thắng cảnh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Ba_Be_Lake_3.jpg/250px-Ba_Be_Lake_3.jpg,"Hồ Ba Bể là một hồ nước ngọt ở Bắc Kạn,Việt Nam.Đây là hồ nước ngọt tự nhiên lớn nhất Việt Nam và là một trong một trăm hồ nước ngọt lớn nhất thế giới[cần dẫn nguồn].Hồ nằm trong Vườn quốc gia Ba Bể,nơi đây được công nhận là khu du lịch quốc gia Việt Nam."
Vườn quốc gia Cát Tiên,"Tỉnh Đồng Nai,tỉnh Bình Phước,tỉnh Lâm Đồng 11°30′B 107°20′Đ",Danh lam thắng cảnh,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Cat_Tien_National_Park%2C_Vietnam.jpg/250px-Cat_Tien_National_Park%2C_Vietnam.jpg,"Vườn quốc gia Cát Tiên là một khu bảo tồn thiên nhiên nằm trên địa bàn 3 huyện:Vĩnh Cửu ,Bình Phước cách Thành phố Hồ Chí Minh 150 km về phía bắc.Đặc trưng của vườn quốc gia này là rừng đất thấp ẩm ướt nhiệt đới.Được thành lập theo quyết định số 01/CT ngày 13 tháng 1 năm 1992 của Thủ tướng chính phủ Việt Nam trên cơ sở kết nối khu rừng cấm Nam Cát Tiên (được thành lập theo quyết định số 360/TTg,ngày 7 tháng 7 năm 1978 của Thủ tướng chính phủ) và khu bảo tồn thiên nhiên Tây Cát Tiên (được thành lập theo quyết định số 194/CT,ngày 9 tháng 8 năm 1986 của Chủ tịch Hội đồng Bộ trưởng).Vườn quốc gia Cát Tiên nằm ở khu vực có toạ độ từ 11°20′50"" tới 11°50′20"" vĩ bắc,và từ 107°09′05"" tới 107°35′20"" kinh đông,trên địa bàn của ba tỉnh Lâm Đồng,Đồng Nai và Bình Phước với tổng diện tích là 71.920 ha.Hiện nay,VQG Cát Tiên là một trong những khu dự trữ sinh quyển thế giới ở Việt Nam."
Đường Trường Sơn - Đường Hồ Chí Minh,"Tỉnh Nghệ An,tỉnh Hà Tĩnh,tỉnh Quảng Bình,tỉnh Quảng Trị,tỉnh Thừa Thiên Huế,tỉnh Quảng Nam,tỉnh Kon Tum,tỉnh Gia Lai,tỉnh Đắk Lắk,tỉnh Đắk Nông,tỉnh Bình Phước",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/vi/thumb/1/1e/HCMT3.jpg/180px-HCMT3.jpg,"Đường Trường Sơn hay đường mòn Hồ Chí Minh (tiếng Anh:Ho Chi Minh trail) là một tuyến Hậu cần chiến lược bao gồm mạng lưới giao thông quân sự,chạy từ lãnh thổ miền Bắc Việt Nam vào tới lãnh thổ miền Nam Việt Nam,phía đông Trường Sơn đi qua miền Trung Việt Nam và phía tây Trường Sơn,có đoạn đi qua hạ Lào,Campuchia.Đây là tuyến hậu cần chiến lược trọng yếu cung cấp binh lực và vật chất hậu cần,vũ khí trang bị để chi viện cho Quân Giải phóng miền Nam trên chiến trường miền Nam Việt Nam,liên tục trong suốt 16 năm (1959–1975) của thời kỳ Chiến tranh Việt Nam."
Đền Hai Bà Trưng,"Huyện Mê Linh,thành phố Hà Nội",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/%C4%90%E1%BB%81n_Hai_B%C3%A0_Tr%C6%B0ng.jpg/180px-%C4%90%E1%BB%81n_Hai_B%C3%A0_Tr%C6%B0ng.jpg,"Đền Hai Bà Trưng còn gọi là đền Hạ Lôi ở thôn Hạ Lôi xã Mê Linh,huyện Mê Linh,thành phố Hà Nội.Đền thờ hai vị liệt nữ - anh hùng dân tộc là Trưng Trắc và Trưng Nhị."
Đền Hát Môn,"Huyện Phúc Thọ,thành phố Hà Nội",Di tích lịch sử,,"Đền Hát Môn,còn gọi là đền Hai Bà Trưng,tọa lạc ở xã Hát Môn,huyện Phúc Thọ,thành phố Hà Nội.Di tích Đền Hát Môn (huyện Phúc Thọ,thành phố Hà Nội) đã được Thủ tướng Chính phủ quyết định xếp hạng di tích quốc gia đặc biệt (tại Quyết định số 2383/QĐ-TTg ngày 09/12/2013)."
Khu di tích nhà Trần tại Đông Triều,"Thành phố Đông Triều,tỉnh Quảng Ninh",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/DenAnSinh.jpg/180px-DenAnSinh.jpg,"Khu di tích nhà Trần tại Đông Triều,tỉnh Quảng Ninh được Thủ tướng Chính phủ xếp hạng di tích lịch sử Quốc gia đặc biệt (Quyết định số 2383/QĐ-TTg ngày 09/12/2013).Hiện nay,Khu di tích này được Thủ tướng Chính phủ phê duyệt Quy hoạch tổng thể bảo tồn và phát huy giá trị trong Quyết định số 307/QĐ-TTg,ngày 07/02/2013 với phạm vi nghiên cứu 11.095 ha,quy mô quy hoạch tổng thể là 2.206 ha,bao gồm 14 di tích nhà Trần và khu vực bảo vệ,dịch vụ du lịch bao quanh.Đây cũng là một trong những Khu di tích Quốc gia đặc biệt của Việt Nam."
Rừng Trần Hưng Đạo,"Huyện Nguyên Bình,tỉnh Cao Bằng",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Rừng Trần Hưng Đạo là khu rừng nằm dưới chân núi Slam Cao thuộc hai xã Tam Kim,Hoa Thám,huyện Nguyên Bình tỉnh Cao Bằng,nằm ở phía Tây Nam và cách thành phố Cao Bằng khoảng 50 km.Khu rừng hiện được công nhận là Di tích quốc gia đặc biệt này là nơi từng diễn ra sự kiện thành lập Đội Việt Nam Tuyên truyền Giải phóng quân,tiền thân của Quân đội Nhân dân Việt Nam vào ngày 22 tháng 12 năm 1944."
Đôi bờ Hiền Lương - Bến Hải,"Huyện Gio Linh và huyện Vĩnh Linh,tỉnh Quảng Trị",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/C%E1%BB%99t_c%E1%BB%9D_gi%E1%BB%9Bi_tuy%E1%BA%BFn1.JPG/250px-C%E1%BB%99t_c%E1%BB%9D_gi%E1%BB%9Bi_tuy%E1%BA%BFn1.JPG,"Cầu Hiền Lương bắc qua sông Bến Hải,tại thôn Hiền Lương,xã Hiền Thành,huyện Vĩnh Linh,tỉnh Quảng Trị,Việt Nam.Cũng tại nơi đây,đã từng diễn ra những cuộc ""chọi loa"",""chọi cờ"" quyết liệt trong Chiến tranh Việt Nam.Thời kỳ đó,cầu Hiền Lương là cây cầu bắc qua sông Bến Hải nơi mà chính là vùng biên giới chia cắt Việt Nam thành hai miền dọc theo vĩ tuyến 17:Miền Bắc do nước Việt Nam Dân chủ Cộng hòa quản lý,miền Nam do phía Quốc gia Việt Nam và sau đó là nước Việt Nam Cộng hoà rồi nước Cộng hòa Miền Nam Việt Nam quản lý,trong suốt gần 22 năm,từ năm 1954 đến năm 1976."
Thành cổ Quảng Trị và những địa điểm lưu niệm sự kiện 81 ngày đêm năm 1972,"Thị xã Quảng Trị,huyện Triệu Phong và huyện Hải Lăng,tỉnh Quảng Trị",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Th%C3%A0nh_c%E1%BB%95_Qu%E1%BA%A3ng_Tr%E1%BB%8B_4.jpg/250px-Th%C3%A0nh_c%E1%BB%95_Qu%E1%BA%A3ng_Tr%E1%BB%8B_4.jpg,"Thành cổ Quảng Trị hoặc Cổ thành Quảng Trị là một Di tích quốc gia đặc biệt của Việt Nam được xếp hạng đợt 4,tọa lạc ở trung tâm thị xã Quảng Trị,tỉnh Quảng Trị."
Chiến thắng Chương Thiện,"Thành phố Vị Thanh và huyện Long Mỹ,tỉnh Hậu Giang",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Di tích là dấu vết của quá khứ còn lưu lại trong lòng đất hoặc trên mặt đất có ý nghĩa về mặt văn hóa và lịch sử"".Ở Việt Nam,một di tích khi đủ các điều kiện sẽ được công nhận theo thứ tự:di tích cấp tỉnh,di tích cấp quốc gia và di tích quốc gia đặc biệt.Di tích quốc gia đặc biệt là những di tích Việt Nam có giá trị đặc biệt tiêu biểu của quốc gia.Di tích quốc gia đặc biệt do Thủ tướng Chính phủ quyết định xếp hạng trên cơ sở lựa chọn các di tích quan trọng đã được Bộ Văn hóa,Thể thao và Du lịch xếp hạng là di tích quốc gia,lần xếp hạng đầu tiên là vào năm 2009."
Đền Phù Đổng,"Huyện Gia Lâm,thành phố Hà Nội","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/PhuDong_gate.jpg/180px-PhuDong_gate.jpg,"Đền Phù Đổng hay còn gọi là đền Gióng thờ Thánh Gióng - Phù Đổng Thiên Vương,nằm ở xã Phù Đổng,Gia Lâm,ngoại thành Hà Nội."
Hồ Hoàn Kiếm và Đền Ngọc Sơn,"Quận Hoàn Kiếm,thành phố Hà Nội","Di tích lịch sử,danh lam thắng cảnh",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/C%E1%BA%A7u_Th%C3%AA_H%C3%BAc_%28H%C3%A0_N%E1%BB%99i%29.jpg/180px-C%E1%BA%A7u_Th%C3%AA_H%C3%BAc_%28H%C3%A0_N%E1%BB%99i%29.jpg,"Hồ Hoàn Kiếm còn được gọi là Hồ Gươm là một hồ nước ngọt tự nhiên nằm ở quận Hoàn Kiếm,trung tâm thành phố Hà Nội.Hồ có diện tích khoảng 12 ha.Trước kia,hồ còn có các tên gọi là hồ Lục Thủy (vì nước có màu xanh quanh năm),hồ Thủy Quân (dùng để duyệt thủy binh),hồ Tả Vọng và Hữu Vọng (trong thời Lê mạt).Tên gọi Hoàn Kiếm xuất hiện vào đầu thế kỷ 15 gắn với truyền thuyết vua Lê Lợi trả lại gươm thần cho Rùa thần.Theo truyền thuyết,trong một lần vua Lê Thái Tổ dạo chơi trên thuyền,bỗng một con rùa vàng nổi lên mặt nước đòi nhà vua trả thanh gươm mà Long Vương cho mượn để đánh đuổi quân Minh xâm lược.Nhà vua liền trả gươm cho rùa thần và rùa lặn xuống nước biến mất.Từ đó hồ được lấy tên là hồ Hoàn Kiếm.Tên hồ còn được lấy để đặt cho một quận trung tâm của Hà Nội (quận Hoàn Kiếm) và là hồ nước duy nhất của quận này cho đến ngày nay."
Đình Tây Đằng,"Huyện Ba Vì,thành phố Hà Nội",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/%C4%90%C3%ACnh_T%C3%A2y_%C4%90%E1%BA%B1ng_1.jpg/250px-%C4%90%C3%ACnh_T%C3%A2y_%C4%90%E1%BA%B1ng_1.jpg,"Đình Tây Đằng là một đình làng ở thị trấn Tây Đằng,huyện Ba Vì,thành phố Hà Nội,Việt Nam.Đình gồm ngôi đình,tả và hữu mạc,sân đình,cổng đình,hồ bán nguyệt.Đây cũng là một di tích quốc gia đặc biệt của Việt Nam được xếp hạng đợt 4."
Chùa Bút Tháp,"Thị xã Thuận Thành,tỉnh Bắc Ninh",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Ch%C3%B9a_B%C3%BAt_Th%C3%A1p.jpg/250px-Ch%C3%B9a_B%C3%BAt_Th%C3%A1p.jpg,"Chùa Bút Tháp (Ninh Phúc tự 寧福寺) nằm ở bên đê hữu ngạn sông Đuống,thôn Bút Tháp,xã Đình Tổ,thị xã Thuận Thành,tỉnh Bắc Ninh.Ngoài ra,nhân dân trong vùng còn gọi là chùa Nhạn Tháp,chùa Thấp.Tên cũ của chùa trước đây gồm có:Thiếu Lâm Tự,Hoàng Cung Tự."
Chùa Dâu,"Thị xã Thuận Thành,tỉnh Bắc Ninh",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Dau_pagoda.jpg/180px-Dau_pagoda.jpg,"Chùa Dâu,còn có tên là Diên Ứng (延應寺),Pháp Vân (法雲寺),hay Cổ Châu,là một ngôi chùa nằm ở phường Thanh Khương,thị xã Thuận Thành,tỉnh Bắc Ninh,cách Hà Nội khoảng 30 km.Đây là trung tâm Phật giáo cổ xưa nhất của Việt Nam.Chùa còn được người dân gọi với những tên gọi khác nhau như chùa Cả,Cổ Châu tự,Diên Ứng tự,Thiền Định tự.Đây là ngôi chùa được coi là có lịch sử hình thành sớm nhất Việt Nam mặc dù các dấu tích vật chất không còn,nó đã được xây dựng lại..Chùa là một danh lam bậc nhất của xứ kinh Bắc xưa nay.Đây cũng là một di tích quốc gia đặc biệt của Việt Nam được xếp hạng đợt 4.Chùa Dâu được xem là ngôi chùa cổ nhất Việt Nam."
Quần đảo Cát Bà,"Huyện Cát Hải,thành phố Hải Phòng",Danh lam thắng cảnh,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/QD_Catba2.jpg/250px-QD_Catba2.jpg,"Quần đảo Cát Bà cách trung tâm thành phố Hải Phòng 60km theo đường biển,có diện tích khu vực đề cử Di sản thế giới là 31.150ha với 388 hòn đảo.Về mặt hành chính,quần đảo Cát Bà thuộc huyện Cát Hải,thành phố Hải Phòng.Nơi đây đã được UNESCO công nhận là khu dự trữ sinh quyển thế giới (năm 2004),được Chính phủ xếp hạng Danh lam thắng cảnh - Di tích quốc gia đặc biệt (năm 2013) và trở thành Di sản thiên nhiên thế giới Vịnh Hạ Long - Quần đảo Cát Bà (năm 2023)."
Khu lăng mộ và đền thờ các vị vua triều Lý,"Thành phố Từ Sơn,tỉnh Bắc Ninh",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Ngulongmon2.JPG/250px-Ngulongmon2.JPG,"Đền Đô,tên chữ là Cổ Pháp điện,còn được gọi là Đền Lý Bát Đế,là một quần thể kiến trúc tín ngưỡng thờ tám vị vua đầu tiên của nhà Lý.Đền Đô đã được Nhà nước Việt Nam công nhận là di tích lịch sử - văn hóa theo Quyết định số 154 của Bộ Văn hóa - Thông tin (nay là Bộ Văn hóa,Thể thao và Du lịch) ngày 25 tháng 1 năm 1991.Năm 2014,nơi đây cùng với khu lăng mộ các Vua nhà Lý đã được xếp hạng di tích quốc gia đặc biệt."
Khu lăng mộ và đền thờ các vị vua triều Trần,"Huyện Hưng Hà,tỉnh Thái Bình",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/%C4%90%E1%BB%81n_Tr%E1%BA%A7n_Th%C3%A1i_B%C3%ACnh.jpg/250px-%C4%90%E1%BB%81n_Tr%E1%BA%A7n_Th%C3%A1i_B%C3%ACnh.jpg,"Đền Trần Thái Bình là một quần thể di tích gồm các đền thờ,lăng mộ thờ các vị vua quan nhà Trần.Đền thờ các vua Trần trên đất phát tích Thái Bình (còn gọi là Thái Đường Lăng) thuộc làng Tam Đường,xã Tiến Đức,huyện Hưng Hà.Hệ thống các di tích lịch sử ở đây gồm Khu lăng mộ và đền thờ các vị vua triều Trần đều đã được chính phủ Việt Nam xếp hạng di tích quốc gia đặc biệt quan trọng."
Khu đền thờ Tây Sơn Tam Kiệt,"Huyện Tây Sơn,tỉnh Bình Định",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Quang_Trung_museum.JPG/180px-Quang_Trung_museum.JPG,"Nhà Tây Sơn (chữ Nôm:家西山,chữ Hán:西山朝 / Tây Sơn triều) là một triều đại quân chủ trong lịch sử Việt Nam tồn tại từ năm 1778 đến năm 1802,được thành lập trong bối cảnh tranh chấp quyền lực cuối thời Lê Trung hưng (1533–1789).Theo cách gọi của phần lớn sử gia,nhất là các sử gia hiện đại tại Việt Nam thì ""nhà Tây Sơn"" được dùng để gọi triều đại của anh em Nguyễn Nhạc,Nguyễn Lữ và Nguyễn Huệ để phân biệt với nhà Nguyễn của Nguyễn Ánh (vì cùng họ Nguyễn).Ngoài ra,""Tây Sơn"" cũng chỉ các lãnh tụ và quân đội khởi nghĩa xuất thân từ ấp Tây Sơn;cũng được dùng làm tên cuộc chiến của Tây Sơn."
Địa điểm Chiến thắng Rạch Gầm - Xoài Mút,"Huyện Châu Thành,tỉnh Tiền Giang",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/T%C6%B0%E1%BB%A3ng_%C4%91%C3%A0i_R%E1%BA%A1ch_G%E1%BA%A7m-Xo%C3%A0i_M%C3%BAt.JPG/180px-T%C6%B0%E1%BB%A3ng_%C4%91%C3%A0i_R%E1%BA%A1ch_G%E1%BA%A7m-Xo%C3%A0i_M%C3%BAt.JPG,"Khu di tích chiến thắng Rạch Gầm – Xoài Mút tọa lạc tại ấp Đông,xã Kim Sơn,huyện Châu Thành,tỉnh Tiền Giang,Việt Nam;cách thành phố Mỹ Tho hơn 12 km về phía tây."
Nhà tù Sơn La,"Thành phố Sơn La,tỉnh Sơn La",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Nhatusonla.jpg/250px-Nhatusonla.jpg,"Nằm tại trung tâm thành phố Sơn La,cách Lào 45 km về phía Nam,nhà tù Sơn La đã được người Pháp xây dựng trong thời kỳ Pháp thuộc nhằm mục tiêu giam cầm những người làm cách mạng của Việt Nam.Trải qua 3 lần xây dựng và mở rộng,nhà tù Sơn La có tổng diện tích là:2.170m2.Ngày nay,nơi đây trở thành một trong những điểm tham quan lịch sử rất có ý nghĩa với người dân Việt Nam cũng như du khách quốc tế."
Nhà tù Phú Quốc,"Thành phố Phú Quốc,tỉnh Kiên Giang",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Phu_Quoc_Prison_DSC_0631.jpg/180px-Phu_Quoc_Prison_DSC_0631.jpg,"Trại giam Tù binh Chiến tranh Phú Quốc,hay Trại giam Tù binh Cộng sản Phú Quốc là một trại giam nằm tại phường An Thới ở phía nam đảo Phú Quốc.Trong Chiến tranh Đông Dương,trại giam này có tên là Nhà lao Cây Dừa.Đây là trại giam tù binh trung tâm toàn Việt Nam Cộng hòa,từng giam giữ hơn 32.000 tù binh (40.000 tù nhân nếu tính cả tù chính trị nhiều thời kỳ)."
Địa đạo Vĩnh Mốc và hệ thống làng hầm Vĩnh Linh,"Huyện Vĩnh Linh,tỉnh Quảng Trị",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Visitors_in_Vinh_Moc_tunnel.JPG/250px-Visitors_in_Vinh_Moc_tunnel.JPG,"Địa đạo Vịnh Mốc (thôn Vịnh Mốc,xã Kim Thạch,huyện Vĩnh Linh,tỉnh Quảng Trị) là một công trình quân - dân sự trong Chiến tranh Việt Nam của phía Việt Nam Dân chủ Cộng hòa nhằm chống lại các cuộc tấn công của phía Việt Nam Cộng hòa và Hợp chúng quốc Hoa Kỳ.Hệ thống địa đạo tồn tại ở phía Bắc sông Bến Hải,cầu Hiền Lương trong suốt những năm 1965-1972."
Khu di tích Bà Triệu,"Huyện Hậu Lộc,tỉnh Thanh Hóa","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Den-tho-ba-trieu.jpg/250px-Den-tho-ba-trieu.jpg,"Đền Bà Triệu là nơi thờ tự vị nữ anh hùng dân tộc Việt tên là Triệu Thị Trinh,người đã có công đánh đuổi quân xâm lược Đông Ngô (Trung Quốc) vào giữa thế kỷ thứ 3.Đền nằm trên núi Gai,ngay sát Quốc lộ 1,đoạn đi qua thôn Phú Điền,xã Triệu Lộc,huyện Hậu Lộc,tỉnh Thanh Hóa,cách thành phố Thanh Hóa 18 km về phía Bắc và cách Hà Nội 137 km về phía Nam."
"Chùa Thầy và khu núi đá Sài Sơn,Hoàng Xá,Phượng Cách","Huyện Quốc Oai,thành phố Hà Nội","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Ch%C3%B9a_Th%E1%BA%A7y_%289411972929%29.jpg/250px-Ch%C3%B9a_Th%E1%BA%A7y_%289411972929%29.jpg,"Chùa Thầy (chữ nôm:㕑偨) là một nhóm những ngôi chùa ở chân núi Sài Sơn,huyện Quốc Oai,tỉnh Hà Tây cũ,nay là xã Sài Sơn,huyện Quốc Oai,Hà Nội,cách trung tâm Hà Nội khoảng 20 km về phía Tây nam,đi theo đường cao tốc Láng - Hòa Lạc.Sài Sơn có tên Nôm là núi Thầy,nên chùa được gọi là chùa Thầy.Chùa được xây dựng từ thời nhà Lý.Đây từng là nơi tu hành của Thiền sư Từ Đạo Hạnh,lúc này núi Thầy còn gọi là núi Phật Tích."
Chùa Tây Phương,"Huyện Thạch Thất,thành phố Hà Nội",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Ch%C3%B9a_T%C3%A2y_Ph%C6%B0%C6%A1ng.JPG/180px-Ch%C3%B9a_T%C3%A2y_Ph%C6%B0%C6%A1ng.JPG,"Chùa Tây Phương (tên chữ là Sùng Phúc tự 崇福寺) là một ngôi chùa được xây trên đỉnh đồi Câu Lâu ,xã Thạch Xá,huyện Thạch Thất,thành phố Hà Nội."
Chùa Phật Tích,"Huyện Tiên Du,tỉnh Bắc Ninh","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/ChuyetChuyet_mummy.jpg/250px-ChuyetChuyet_mummy.jpg,"Chùa Phật Tích (Phật Tích tự 佛跡寺) còn gọi là chùa Vạn Phúc (Vạn Phúc tự 萬福寺) là một ngôi chùa nằm ở sườn phía Nam núi Phật Tích (còn gọi núi Lạn Kha,non Tiên),xã Phật Tích,huyện Tiên Du,tỉnh Bắc Ninh.Trong chùa có tượng đức Phật bằng đá thời nhà Lý lớn nhất Việt Nam.Chùa Phật Tích được xếp hạng Di tích Lịch sử- Văn hóa tại Quyết định số 313/VH-VP,ngày 28 tháng 4 năm 1962 của Bộ Văn hóa và được Thủ tướng chính phủ ký và xếp hạng 62 Di tích quốc gia đặc biệt của Việt Nam"
Đền Sóc,"Huyện Sóc Sơn,thành phố Hà Nội",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/%C4%90%E1%BB%81n_Gi%C3%B3ng%2C_S%C3%B3c_S%C6%A1n%2C_H%C3%A0_N%E1%BB%99i_-_panoramio_%281%29.jpg/180px-%C4%90%E1%BB%81n_Gi%C3%B3ng%2C_S%C3%B3c_S%C6%A1n%2C_H%C3%A0_N%E1%BB%99i_-_panoramio_%281%29.jpg,Khu di tích lịch sử đền Sóc nằm dưới chân Núi Sóc là nơi gắn với truyền thuyết anh hùng Thánh Gióng bay về trời sau khi đánh thắng giặc Ân.
Khu di tích Phố Hiến,"Thành phố Hưng Yên,tỉnh Hưng Yên","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/V%C4%83n_mi%E1%BA%BFu_X%C3%ADch_%C4%90%E1%BA%B1ng_02.JPG/250px-V%C4%83n_mi%E1%BA%BFu_X%C3%ADch_%C4%90%E1%BA%B1ng_02.JPG,"Phố Hiến (chữ Nôm:庯憲) là một địa danh lịch sử ở thành phố Hưng Yên.Vào các thế kỷ 17-18,nơi đây là một thương cảng cổ nổi tiếng của Việt Nam.Lúc ấy,phố Hiến là một đô thị trải dài theo bờ tả ngạn sông Hồng.Ngoài kinh đô Thăng Long - Kẻ Chợ là thủ đô phồn vinh nhất nước,Phố Hiến đã là một đô thị nổi bật đứng ở vị trí thứ hai.Dân gian có câu:""Thứ nhất Kinh Kỳ,thứ nhì Phố Hiến"".Văn bia chùa Thiên ứng,dựng năm Vĩnh Tộ thứ 7 (1625,đời vua Lê Thần Tông) đã ghi:""Phố Hiến nổi tiếng trong bốn phương là một tiểu Tràng An"" - tức một Kinh đô thu nhỏ ."
