Tên di tích,Địa điểm,Loại di tích,Đường dẫn hình ảnh,Mô tả
Cát Tiên,"Huyện Cát Tiên,tỉnh Lâm Đồng",Di tích khảo cố,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Thánh địa Cát Tiên là tên gọi quần thể di chỉ khảo cổ được phát hiện từ năm 1985,nằm trong một bồn địa rộng hàng trăm hecta và trải trên chiều dài khoảng 15 km dọc theo hệ thống sông Đạ Đường và Đồng Nai,bao gồm rất nhiều gò đồi và bãi bồi ven sông được bao bọc bởi dãy núi cuối cùng của Trường Sơn Nam.Toàn bộ khu di tích này thuộc địa phận kéo dài từ xã Quảng Ngãi đến xã Đức Phổ,trong đó mật độ di chỉ khảo cổ tập trung dày đặc ở khu vực xã Quảng Ngãi thuộc huyện Đạ Huoai của tỉnh Lâm Đồng,khu vực Nam Tây Nguyên."
Đền thờ Nguyễn Bỉnh Khiêm,"Huyện Vĩnh Bảo,thành phố Hải Phòng",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Nh%C3%A0_d%E1%BA%A1y_h%E1%BB%8Dc.jpg/180px-Nh%C3%A0_d%E1%BA%A1y_h%E1%BB%8Dc.jpg,"Khu di tích Trạng Trình Nguyễn Bỉnh Khiêm là các công trình kiến trúc – văn hóa gắn với cuộc đời và sự nghiệp của Trình quốc công Nguyễn Bỉnh Khiêm ngay tại quê nội của ông là xã Lý Học,huyện Vĩnh Bảo,thành phố Hải Phòng.Khu di tích này là nơi có những địa dấu nổi tiếng đã đi vào sự nghiệp thơ văn của Nguyễn Bỉnh Khiêm như Trung Tân quán và Bạch Vân am (từ đó mà ông có danh xưng Bạch Vân am cư sĩ).Ngày 7 tháng 1 năm 2016 (tức ngày 28 tháng 11 năm Ất Mùi),tại Khu di tích Trình quốc công Nguyễn Bỉnh Khiêm thuộc xã Lý Học,huyện Vĩnh Bảo,UBND Thành phố Hải Phòng đã trọng thể kỷ niệm 430 năm ngày mất của ông và đón nhận bằng xếp hạng Di tích quốc gia đặc biệt do Chính phủ trao tặng.Đây là di tích quốc gia đặc biệt thứ hai của Hải Phòng sau danh lam thắng cảnh quần đảo Cát Bà được xếp hạng vào năm 2013."
Đền Trần Thương,"Huyện Lý Nhân,tỉnh Hà Nam","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/%C4%90%E1%BB%81n_Tr%E1%BA%A7n_Th%C6%B0%C6%A1ng.jpg/180px-%C4%90%E1%BB%81n_Tr%E1%BA%A7n_Th%C6%B0%C6%A1ng.jpg,"Đền Trần Thương (hay Đền Trần,Đền thờ Đức Thánh Trần) là một ngôi đền thờ Trần Hưng Đạo được dựng lên ngay trên phần đất khi xưa ông dùng làm kho lương phục vụ cuộc kháng chiến chống quân Nguyên - Mông lần 2 (1285).Trong đền có giếng Ngọc,là nơi táng xương cốt của Trần Hưng Đạo khi ông qua đời.Đền Trần Thương nằm bên bờ sông Hồng,tọa lạc tại thôn Trần Thương,xã Trần Hưng Đạo,huyện Lý Nhân,tỉnh Hà Nam,Việt Nam."
Tháp Bình Sơn,"Huyện Sông Lô,tỉnh Vĩnh Phúc",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Binh_Son_tower_2.jpg/250px-Binh_Son_tower_2.jpg,"Tháp Bình Sơn,còn gọi là Tháp chùa Vĩnh Khánh hay Tháp Then,là một ngôi tháp cổ,tương truyền nguyên thủy có 13 tầng tuy hiện nay chỉ còn lại 11 tầng.Tháp được xây dựng từ thời Trần,nằm ở trong khuôn viên chùa Vĩnh Khánh (chùa Then) thuộc thôn Bình Sơn,thị trấn Tam Sơn huyện Sông Lô,tỉnh Vĩnh Phúc."
Tây Thiên - Tam Đảo,"Huyện Tam Đảo,tỉnh Vĩnh Phúc","Di tích lịch sử,danh lam thắng cảnh",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/TrucLam.JPG/250px-TrucLam.JPG,"Tam Đảo là một dãy núi đá ở vùng Đồng bằng Bắc Bộ Việt Nam,nằm trên địa bàn thành phố Hà Nội và ba tỉnh Vĩnh Phúc,Thái Nguyên,Tuyên Quang.Đỉnh cao nhất của dãy núi Tam Đảo nằm ở ranh giới của huyện Tam Đảo (Vĩnh Phúc) và huyện Đại Từ (Thái Nguyên),có độ cao tuyệt đối là 1.597 m."
Căn cứ Bộ chỉ huy Quân giải phóng miền Nam Việt Nam,"Huyện Lộc Ninh,tỉnh Bình Phước",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Di tích là dấu vết của quá khứ còn lưu lại trong lòng đất hoặc trên mặt đất có ý nghĩa về mặt văn hóa và lịch sử"".Ở Việt Nam,một di tích khi đủ các điều kiện sẽ được công nhận theo thứ tự:di tích cấp tỉnh,di tích cấp quốc gia và di tích quốc gia đặc biệt.Di tích quốc gia đặc biệt là những di tích Việt Nam có giá trị đặc biệt tiêu biểu của quốc gia.Di tích quốc gia đặc biệt do Thủ tướng Chính phủ quyết định xếp hạng trên cơ sở lựa chọn các di tích quan trọng đã được Bộ Văn hóa,Thể thao và Du lịch xếp hạng là di tích quốc gia,lần xếp hạng đầu tiên là vào năm 2009."
Chùa Vĩnh Nghiêm,"Thành phố Bắc Giang,tỉnh Bắc Giang","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Ch%C3%B9a_V%C4%A9nh_Nghi%C3%AAm_-_Y%C3%AAn_D%C5%A9ng_-_B%E1%BA%AFc_Giang_-_panoramio_%2824%29.jpg/250px-Ch%C3%B9a_V%C4%A9nh_Nghi%C3%AAm_-_Y%C3%AAn_D%C5%A9ng_-_B%E1%BA%AFc_Giang_-_panoramio_%2824%29.jpg,"Chùa Vĩnh Nghiêm,còn được gọi là chùa Đức La,là một ngôi chùa cổ tại làng Đức La,xã Trí Yên,thành phố Bắc Giang,tỉnh Bắc Giang,Việt Nam.Chùa được công nhận là một trung tâm Phật giáo,nơi đào tạo tăng đồ cho cả nước,nơi phát tích Tam Tổ phái Thiền Trúc Lâm của Phật giáo Việt Nam.Năm 2015,chùa được công nhận là Di tích quốc gia đặc biệt."
Địa đạo Củ Chi,"Huyện Củ Chi,Thành phố Hồ Chí Minh",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/VietnamCuChiTunnels.jpg/250px-VietnamCuChiTunnels.jpg,"Địa đạo Củ Chi là một hệ thống phòng thủ trong lòng đất ở huyện Củ Chi,cách trung tâm Thành phố Hồ Chí Minh 69 km về hướng Tây-Bắc.Hệ thống này được quân kháng chiến Việt Minh và Mặt trận Dân tộc Giải phóng miền Nam Việt Nam đào trong thời kỳ Chiến tranh Đông Dương và Chiến tranh Việt Nam.Hệ thống địa đạo bao gồm bệnh xá,nhiều phòng ở,nhà bếp,kho chứa,phòng làm việc,hệ thống đường ngầm dưới lòng đất,dài khoảng 250 km và có các hệ thống thông hơi tại vị trí các bụi cây.Địa đạo Củ Chi được xây dựng ở điểm cuối Đường mòn Hồ Chí Minh,trên vùng đất được mệnh danh là ""đất thép"" để ca ngợi ý chí phòng thủ kiên cường của quân dân nơi đây.Trong Chiến dịch Tết Mậu Thân 1968,quân Giải phóng miền Nam đã xuất phát từ hệ thống địa đạo này để tấn công vào trung tâm Sài Gòn."
Tháp Chăm Dương Long,"Huyện Tây Sơn,tỉnh Bình Định",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Th%C3%A1p_D%C6%B0%C6%A1ng_Long.JPG/180px-Th%C3%A1p_D%C6%B0%C6%A1ng_Long.JPG,"Tháp Dương Long là cụm di tích gồm ba tháp Chăm thẳng hàng trên một gò cao thuộc huyện Tây Sơn,tỉnh Bình Định."
Hang Con Moong và các di tích phụ cận,"Huyện Thạch Thành,tỉnh Thanh Hóa",Di tích khảo cổ,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Hang Con Moong (theo tiếng địa phương có nghĩa là ""hang con thú"") là một hang đá trong Vườn quốc gia Cúc Phương.Tuy Vườn quốc gia Cúc Phương phần lớn thuộc tỉnh Ninh Bình nhưng hang Con Moong lại thuộc xã Thành Yên,huyện Thạch Thành,tỉnh Thanh Hóa.Ngày 23/11/2016,hang Con Moong và các di tích phụ cận đã được công nhận là Di tích quốc gia đặc biệt."
Mộ cự thạch Hàng Gòn,"Thành phố Long Khánh,tỉnh Đồng Nai",Di tích khảo cổ,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Mộ cự thạch Hàng Gòn (còn được gọi là Di chỉ Hàng Gòn 7,Mộ Đông Dương,Mả Ông Đá) là một di tích khảo cổ tại xã Hàng Gòn,thành phố Long Khánh,tỉnh Đồng Nai,Việt Nam.Đây là một ngôi mộ cổ được phát hiện và khai quật từ năm 1927,thuộc loại hình mộ táng Dolmen độc đáo trong hệ thống di chỉ khảo cổ học ở Việt Nam."
Khởi nghĩa Bắc Sơn,"Huyện Bắc Sơn,tỉnh Lạng Sơn",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Khởi nghĩa Bắc Sơn - Trong thời kỳ Chiến tranh thế giới thứ hai,vào tháng 6 năm 1940,nước Pháp bị quân đội Đức Quốc xã xâm lược và chiếm đóng.Nhân cơ hội này,tháng 9 năm đó,đế quốc Nhật Bản xâm lược bán đảo Đông Dương từ tay Pháp.Từ đây,Việt Nam bị hai thế lực cùng thống trị là thực dân Pháp và phát xít Nhật.Khởi nghĩa Bắc Sơn là một cuộc khởi nghĩa của người Việt chống lại thực dân Pháp và phát xít Nhật diễn ra tại Bắc Sơn,Lạng Sơn vào năm 1940.Quân Nhật đánh vào Lạng Sơn ngày 22 tháng 9 năm 1940,quân đội Pháp trên đường thua chạy đã rút lui qua châu Bắc Sơn.Nhân cơ hội đó,Đảng bộ Bắc Sơn thuộc Đảng Cộng sản Đông Dương đã lãnh đạo người dân nổi dậy tước khí giới của tàn quân Pháp để tự vũ trang cho mình,giải tán chính quyền địch,thành lập chính quyền cách mạng (27-9-1940).Nhưng sau đó Nhật thỏa hiệp với Pháp để quay trở lại đàn áp phong trào khởi nghĩa."
Địa điểm diễn ra Đại hội Đại biểu toàn quốc lần thứ II của Đảng,"Huyện Chiêm Hóa,tỉnh Tuyên Quang",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Di tích là dấu vết của quá khứ còn lưu lại trong lòng đất hoặc trên mặt đất có ý nghĩa về mặt văn hóa và lịch sử"".Ở Việt Nam,một di tích khi đủ các điều kiện sẽ được công nhận theo thứ tự:di tích cấp tỉnh,di tích cấp quốc gia và di tích quốc gia đặc biệt.Di tích quốc gia đặc biệt là những di tích Việt Nam có giá trị đặc biệt tiêu biểu của quốc gia.Di tích quốc gia đặc biệt do Thủ tướng Chính phủ quyết định xếp hạng trên cơ sở lựa chọn các di tích quan trọng đã được Bộ Văn hóa,Thể thao và Du lịch xếp hạng là di tích quốc gia,lần xếp hạng đầu tiên là vào năm 2009."
An toàn khu (ATK) Chợ Đồn,"Huyện Chợ Đồn,tỉnh Bắc Kạn",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"ATK,viết tắt của an toàn khu,là khu vực mà Quân đội nhân dân Việt Nam giành được quyền kiểm soát gần như tuyệt đối trong thời gian chiến tranh chống Pháp,Nhật,Mỹ.ATK có 2 cấp:xã An toàn khu và vùng An toàn khu."
Chùa Bổ Đà,"Thị xã Việt Yên,tỉnh Bắc Giang","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/NNU_Ch%C3%B9ab%E1%BB%95%C4%91%C3%A0.jpg/250px-NNU_Ch%C3%B9ab%E1%BB%95%C4%91%C3%A0.jpg,"Chùa Bổ Đà,còn được gọi là chùa Bổ,chùa Tam Giáo,còn có tên chữ là Tứ Ân tự (四恩寺) là một ngôi chùa toạ lạc trên ngọn núi Phượng Hoàng (Bổ Đà sơn),bờ tả dòng sông Cầu,thuộc địa phận thôn Thượng Lát,xã Tiên Sơn,huyện Việt Yên,tỉnh Bắc Giang (thời phong kiến là xã Tiên Lát,tổng Tiên Lát,huyện Yên Việt,phủ Bắc Hà,trấn Kinh Bắc xưa).Chùa nằm cách trung tâm thị trấn Bích Động khoảng 10 km về phía Tây,Chùa Bổ Đà là một trong những ngôi chùa độc đáo nhất vùng đất Kinh Bắc,là trung tâm Phật giáo lớn của dòng thiền Trúc Lâm Yên Tử.Chùa đã được công nhận là Di tích quốc gia đặc biệt năm 2016 và bộ kinh phật khắc trên gỗ thị lưu giữ trong chùa được đánh giá là cổ nhất của dòng thiền Lâm Tế,..."
Quần thể An Phụ - Kính Chủ - Nhẫm Dương,"Thị xã Kinh Môn,tỉnh Hải Dương","Di tích lịch sử,danh lam thắng cảnh",https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Tuong_dai_THD.jpg/250px-Tuong_dai_THD.jpg,"Di tích là dấu vết của quá khứ còn lưu lại trong lòng đất hoặc trên mặt đất có ý nghĩa về mặt văn hóa và lịch sử"".Ở Việt Nam,một di tích khi đủ các điều kiện sẽ được công nhận theo thứ tự:di tích cấp tỉnh,di tích cấp quốc gia và di tích quốc gia đặc biệt.Di tích quốc gia đặc biệt là những di tích Việt Nam có giá trị đặc biệt tiêu biểu của quốc gia.Di tích quốc gia đặc biệt do Thủ tướng Chính phủ quyết định xếp hạng trên cơ sở lựa chọn các di tích quan trọng đã được Bộ Văn hóa,Thể thao và Du lịch xếp hạng là di tích quốc gia,lần xếp hạng đầu tiên là vào năm 2009."
Chùa Keo Hành Thiện,"Huyện Xuân Trường,tỉnh Nam Định",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/GacchuongChuaKeoHT.jpg/180px-GacchuongChuaKeoHT.jpg,"Chùa Keo (tên chữ:Thần Quang tự 神光寺) là một ngôi chùa ở làng Hành Thiện,xã Xuân Hồng,huyện Xuân Trường,tỉnh Nam Định,Việt Nam.Đây là một trong những ngôi chùa cổ ở Việt Nam được bảo tồn hầu như còn nguyên vẹn kiến trúc 400 năm tuổi.[cần dẫn nguồn]"
Khu lưu niệm Phan Bội Châu tại Nam Đàn,"Huyện Nam Đàn,tỉnh Nghệ An",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Di tích là dấu vết của quá khứ còn lưu lại trong lòng đất hoặc trên mặt đất có ý nghĩa về mặt văn hóa và lịch sử"".Ở Việt Nam,một di tích khi đủ các điều kiện sẽ được công nhận theo thứ tự:di tích cấp tỉnh,di tích cấp quốc gia và di tích quốc gia đặc biệt.Di tích quốc gia đặc biệt là những di tích Việt Nam có giá trị đặc biệt tiêu biểu của quốc gia.Di tích quốc gia đặc biệt do Thủ tướng Chính phủ quyết định xếp hạng trên cơ sở lựa chọn các di tích quan trọng đã được Bộ Văn hóa,Thể thao và Du lịch xếp hạng là di tích quốc gia,lần xếp hạng đầu tiên là vào năm 2009."
Phật viện Đồng Dương,"Huyện Thăng Bình,tỉnh Quảng Nam","Di tích khảo cổ,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Th%C3%A1p_%C4%90%E1%BB%93ng_D%C6%B0%C6%A1ng_2.jpg/180px-Th%C3%A1p_%C4%90%E1%BB%93ng_D%C6%B0%C6%A1ng_2.jpg,"Tháp Đồng Dương là một di tích quan trọng vào bậc nhất của Chăm Pa,gồm có hệ thống các tháp nằm gần nhau,nằm ở làng Đồng Dương,huyện Thăng Bình,tỉnh Quảng Nam.Tháp được xây dựng vào thời kỳ Chăm Pa còn bị ảnh hưởng của Phật giáo,nên có tính chất đặc biệt so với các tháp khác trong hệ thống tháp Chăm,nó được mệnh danh là tòa tu viện Phật giáo giữa đô thành.Hệ thống tháp Đồng Dương nằm ngay chính trung tâm đô thành Indrapura trong thời kỳ vương triều Indrapura."
Địa điểm Chiến thắng Đăk Tô-Tân Cảnh,"Huyện Đăk Tô,tỉnh Kon Tum",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/T%C6%B0%E1%BB%A3ng_%C4%91%C3%A0i_Chi%E1%BA%BFn_th%E1%BA%AFng_%C4%90%C4%83k_T%C3%B4_-_T%C3%A2n_C%E1%BA%A3nh_%2840022454161%29.jpg/250px-T%C6%B0%E1%BB%A3ng_%C4%91%C3%A0i_Chi%E1%BA%BFn_th%E1%BA%AFng_%C4%90%C4%83k_T%C3%B4_-_T%C3%A2n_C%E1%BA%A3nh_%2840022454161%29.jpg,"Di tích là dấu vết của quá khứ còn lưu lại trong lòng đất hoặc trên mặt đất có ý nghĩa về mặt văn hóa và lịch sử"".Ở Việt Nam,một di tích khi đủ các điều kiện sẽ được công nhận theo thứ tự:di tích cấp tỉnh,di tích cấp quốc gia và di tích quốc gia đặc biệt.Di tích quốc gia đặc biệt là những di tích Việt Nam có giá trị đặc biệt tiêu biểu của quốc gia.Di tích quốc gia đặc biệt do Thủ tướng Chính phủ quyết định xếp hạng trên cơ sở lựa chọn các di tích quan trọng đã được Bộ Văn hóa,Thể thao và Du lịch xếp hạng là di tích quốc gia,lần xếp hạng đầu tiên là vào năm 2009."
Tháp Hòa Lai,"Huyện Thuận Bắc,tỉnh Ninh Thuận","Di tích kiến trúc nghệ thuật,khảo cổ",https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Th%C3%A1p_H%C3%B2a_Lai%2C_Ninh_Thu%E1%BA%ADn.JPG/250px-Th%C3%A1p_H%C3%B2a_Lai%2C_Ninh_Thu%E1%BA%ADn.JPG,"Tháp Hòa Lai là một trong những cụm tháp cổ Chăm Pa,gồm có ba tháp hiện nằm ở thôn Ba Tháp,xã Bắc Phong,huyện Thuận Bắc,tỉnh Ninh Thuận.Được đánh giá là một trong những di tích cổ nhất và đẹp nhất còn tồn tại."
Tháp Pô Klong Garai,"Thành phố Phan Rang – Tháp Chàm,tỉnh Ninh Thuận",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Po_Klong_Garai.jpg/250px-Po_Klong_Garai.jpg,"Tháp Po Klong Garai là tên gọi chung cho một cụm tháp Chăm hùng vĩ và đẹp nhất còn lại ở Việt Nam,phụng thờ vua Po Klong Garai.Tháp Pô Klong Garai là một tổng thể gồm ba tháp:tháp chính (cao 20,5m),tháp lửa (cao 9,31m),tháp cổng (cao 8,56m).Công trình này có trình độ kiến trúc,nghệ thuật,điêu khắc đạt đến đỉnh cao.Di tích kiến trúc nghệ thuật này được Bộ Văn hóa xếp hạng di tích di tích quốc gia năm 1979 và được Thủ tướng Chính phủ xếp hạng di tích quốc gia đặc biệt."
Đồng Khởi Bến Tre,"Huyện Mỏ Cày Nam,tỉnh Bến Tre",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Nha_truyen_thong_Dong_Khoi.JPG/180px-Nha_truyen_thong_Dong_Khoi.JPG,"Di tích là dấu vết của quá khứ còn lưu lại trong lòng đất hoặc trên mặt đất có ý nghĩa về mặt văn hóa và lịch sử"".Ở Việt Nam,một di tích khi đủ các điều kiện sẽ được công nhận theo thứ tự:di tích cấp tỉnh,di tích cấp quốc gia và di tích quốc gia đặc biệt.Di tích quốc gia đặc biệt là những di tích Việt Nam có giá trị đặc biệt tiêu biểu của quốc gia.Di tích quốc gia đặc biệt do Thủ tướng Chính phủ quyết định xếp hạng trên cơ sở lựa chọn các di tích quan trọng đã được Bộ Văn hóa,Thể thao và Du lịch xếp hạng là di tích quốc gia,lần xếp hạng đầu tiên là vào năm 2009."
Mộ và Khu tưởng niệm Nguyễn Đình Chiểu,"Huyện Ba Tri,tỉnh Bến Tre",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/M%E1%BB%99_Nguy%E1%BB%85n_%C4%90%C3%ACnh_Chi%E1%BB%83u_v%C3%A0_v%E1%BB%A3.jpg/250px-M%E1%BB%99_Nguy%E1%BB%85n_%C4%90%C3%ACnh_Chi%E1%BB%83u_v%C3%A0_v%E1%BB%A3.jpg,"Lăng Nguyễn Đình Chiểu là nơi an táng và thờ nhà thơ Nguyễn Đình Chiểu,cùng với vợ ông là bà Lê Thị Điền và con gái là nữ sĩ Sương Nguyệt Anh.Khu di tích hiện thuộc ấp 3,xã An Đức,huyện Ba Tri,tỉnh Bến Tre,được Thủ tướng Chính phủ Việt Nam xếp hạng di tích quốc gia đặc biệt vào cuối năm 2016."
Đền Cửa Ông,"Thành phố Cẩm Phả và huyện Vân Đồn,tỉnh Quảng Ninh",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/C%E1%BB%ADa_%C3%94ng_Temple_2017.jpg/250px-C%E1%BB%ADa_%C3%94ng_Temple_2017.jpg,"Đền Cửa Ông nằm tại phường Cửa Ông,thành phố Cẩm Phả,tỉnh Quảng Ninh.Đây là nơi thờ Hưng Nhượng Đại Vương Trần Quốc Tảng cùng nhiều nhân vật nổi tiếng thời nhà Trần,và cũng là nơi diễn ra Lễ hội đền Cửa Ông hằng năm.Cuối năm 2017,đền Cửa Ông được Chính phủ xếp hạng là Di tích quốc gia đặc biệt."
Văn miếu Mao Điền,"Huyện Cẩm Giàng,tỉnh Hải Dương",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/V%C4%83n_mi%E1%BA%BFu_Mao_%C4%90i%E1%BB%81n.jpg/180px-V%C4%83n_mi%E1%BA%BFu_Mao_%C4%90i%E1%BB%81n.jpg,"Văn miếu Mao Điền thuộc làng Mậu Tài,xã Mao Điền,nay thuộc xã Cẩm Điền,huyện"
Địa điểm khởi nghĩa Ba Tơ,"Huyện Ba Tơ,tỉnh Quảng Ngãi",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Khởi nghĩa Ba Tơ là cuộc nổi dậy giành chính quyền của quân dân châu Ba Tơ thuộc tỉnh Quảng Ngãi,nổ ra ngày 11 tháng 3 năm 1945,sau 2 ngày Nhật đảo chính Pháp ở Việt Nam."
Địa điểm Chiến thắng Biên giới năm 1950,"Huyện Thạch An,tỉnh Cao Bằng",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Pháp:4.800 chết hoặc bị thương 2.000 mất tích hoặc bị bắt Quốc gia Việt Nam:Hơn 1.000 chết hoặc bị thương,hơn 500 bị bắt"
Chùa Đọi Sơn,"Thị xã Duy Tiên,tỉnh Hà Nam","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Chùa Đọi Sơn là một ngôi chùa cổ tại Việt Nam.Chùa nằm trên đỉnh núi Đọi,hiện nay thuộc địa phận xã Tiên Sơn,thị xã Duy Tiên,tỉnh Hà Nam,cách Hà Nội 50 km về phía nam;cách thành phố Phủ Lý 10 km về phía đông bắc."
Đền Xưa - Chùa Giám - Đền Bia,"Huyện Cẩm Giàng,tỉnh Hải Dương","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Di tích là dấu vết của quá khứ còn lưu lại trong lòng đất hoặc trên mặt đất có ý nghĩa về mặt văn hóa và lịch sử"".Ở Việt Nam,một di tích khi đủ các điều kiện sẽ được công nhận theo thứ tự:di tích cấp tỉnh,di tích cấp quốc gia và di tích quốc gia đặc biệt.Di tích quốc gia đặc biệt là những di tích Việt Nam có giá trị đặc biệt tiêu biểu của quốc gia.Di tích quốc gia đặc biệt do Thủ tướng Chính phủ quyết định xếp hạng trên cơ sở lựa chọn các di tích quan trọng đã được Bộ Văn hóa,Thể thao và Du lịch xếp hạng là di tích quốc gia,lần xếp hạng đầu tiên là vào năm 2009."
Thành Điện Hải,"Quận Hải Châu,thành phố Đà Nẵng",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Dien_Hai_Citadel_Cannon_2.jpg/250px-Dien_Hai_Citadel_Cannon_2.jpg,"Thành Điện Hải là một di tích quốc gia đặc biệt tọa lạc tại thành phố Đà Nẵng,Việt Nam.Tòa thành được xây dựng lần đầu vào năm Gia Long thứ 12 (năm 1813) với mục đích kiểm soát tàu thuyền và trấn giữ Đà Nẵng.Đến năm Minh Mạng thứ 4 (năm 1823),thành được di dời và xây dựng lại theo kiến trúc kiểu Vauban.Đây là thành lũy có vai trò vô cùng quan trọng góp phần đánh bại cuộc tấn công của thực dân Pháp vào Đà Nẵng những năm 1858–1860."
